BRANCH_ID|CUSTOMER_ID|PANEL_ID|INV_DATE|PRODUCT_ID|SELL_PRICE|QTY_SOLD|QTY_BONUS|INV_NO|SECTOR_ID|QTY_BNS_SDM|QTY_BNS_CONV|TOT_QTY_BNS|NETT_QTY_SOLD|SO_SAPORA_NO|CUST_SHIP_ID_ORACLE|
01|4837||01-Dec-2020|0070095|37,800.00|5|0|400101200027133|R2|0|0|0|5||195502|
01|5022||04-Dec-2020|0070014|28,700.00|1|0|400101200027355|A1|0|0|0|1||195139|
01|5273||02-Dec-2020|0070017|26,200.00|25|0|400101200027180|D1|0|0|0|25||196157|
01|5273||02-Dec-2020|0070024|30,000.00|-20|0|410101200001367|D1|0|0|0|-20||196157|
01|5273||02-Dec-2020|0070086|62,600.00|-20|0|410101200001367|D1|0|0|0|-20||196157|
01|5273||02-Dec-2020|0070102|36,700.00|5|0|400101200027224|D1|0|0|0|5||196157|
01|5273||02-Dec-2020|0070122|1,238,000.00|2|0|400101200027202|D1|0|0|0|2||196157|
01|5273||03-Dec-2020|0070017|26,200.00|10|0|400101200027268|D1|0|0|0|10||196157|
01|5273||03-Dec-2020|0070167|42,500.00|5|0|400101200027268|D1|0|0|0|5||196157|
01|5273||03-Dec-2020|0070227|63,750.00|4|0|400101200027268|D1|0|0|0|4||196157|
01|5273||04-Dec-2020|0070117|20,250.00|15|0|400101200027430|D1|0|0|0|15||196157|
01|5273||05-Dec-2020|0070015|28,700.00|40|0|400101200027451|D1|0|0|0|40||196157|
01|5273||05-Dec-2020|0070043|43,900.00|45|0|400101200027451|D1|0|0|0|45||196157|
01|5273||05-Dec-2020|0070086|62,600.00|15|0|400101200027451|D1|0|0|0|15||196157|
01|5451||04-Dec-2020|0070086|62,600.00|2|0|400101200027372|A1|0|0|0|2||194779|
01|5482||05-Dec-2020|0070041|33,800.00|2|0|400101200027495|R1|0|0|0|2||195522|
01|5482||05-Dec-2020|0070059|22,900.00|4|0|400101200027495|R1|0|0|0|4||195522|
01|5544||04-Dec-2020|0070236|33,000.00|6|0|400201200004447|T3|0|0|0|6||195640|
01|5702||04-Dec-2020|0070016|26,200.00|2|0|400101200027407|A1|0|0|0|2||195215|
01|5702||04-Dec-2020|0070039|23,000.00|2|0|400101200027407|A1|0|0|0|2||195215|
01|5702||04-Dec-2020|0070049|17,600.00|1|0|400101200027407|A1|0|0|0|1||195215|
01|5702||04-Dec-2020|0070068|29,100.00|1|0|400101200027407|A1|0|0|0|1||195215|
01|614||02-Dec-2020|0070041|33,800.00|4|0|400101200027206|A1|0|0|0|4||195440|
01|614||02-Dec-2020|0070043|43,900.00|1|0|400101200027206|A1|0|0|0|1||195440|
01|||01-Dec-2020|0070154|72,500.00|1|0|400101200027120|A1|0|0|0|1||333186|
01|||02-Dec-2020|0070037|55,100.00|1|0|400101200027203|A1|0|0|0|1||281886|
01|||03-Dec-2020|0070045|13,350.00|70|0|400101200027257|A1|0|0|0|70||374267|
01|||03-Dec-2020|0070072|66,550.00|4|0|400101200027294|D1|0|0|0|4||329470|
01|||03-Dec-2020|0070085|30,000.00|4|0|400101200027294|D1|0|0|0|4||329470|
01|||04-Dec-2020|0070020|31,625.00|3|0|400101200027392|A1|0|0|0|3||333618|
01|||04-Dec-2020|0070023|20,350.00|3|0|400101200027392|A1|0|0|0|3||333618|
01|||04-Dec-2020|0070041|33,800.00|1|0|400101200027360|A1|0|0|0|1||333308|
01|||04-Dec-2020|0070207|126,500.00|1|0|400201200004446|T11|0|0|0|1||208469|
01|||05-Dec-2020|0070013|28,700.00|2|0|400101200027506|A1|0|0|0|2||333186|
01|||05-Dec-2020|0070020|31,625.00|3|0|400101200027470|D1|0|0|0|3||329470|
01|||05-Dec-2020|0070023|20,350.00|3|0|400101200027470|D1|0|0|0|3||329470|
01|||05-Dec-2020|0070040|23,000.00|2|0|400101200027506|A1|0|0|0|2||333186|
01|||05-Dec-2020|0070041|33,800.00|3|0|400101200027471|D1|0|0|0|3||329470|
01|||05-Dec-2020|0070086|62,600.00|3|0|400101200027471|D1|0|0|0|3||329470|
03|300350||04-Dec-2020|0070026|31,500.00|3|0|400102200022669|A1|0|0|0|3||3938|
03|300350||04-Dec-2020|0070041|33,800.00|3|0|400102200022669|A1|0|0|0|3||3938|
03|300350||04-Dec-2020|0070085|30,000.00|3|0|400102200022669|A1|0|0|0|3||3938|
03|300472||02-Dec-2020|0070022|31,625.00|4|0|400102200022462|A1|0|0|0|4||3939|
03|300550||03-Dec-2020|0070044|61,600.00|2|0|400102200022558|A1|0|0|0|2||3567|
